fingerprint,sitename,title,author,date,source,hostname,excerpt,categories,tags,filename,id,license,comments,source-hostname
EreEXVl04TMXumeyideOBeIxoPM=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Arula Ratnakar,2022-01-01,https://clarkesworldmagazine.com/ratnakar_05_19/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Insaan Hain, Farishte Nahin by Arula Ratnakar",,,./data/1/21QgJXT6wVnb-zv2by+b1DVhlI4.xml,,,,
AIIZGz2/wU9mFu8wIsVZ9YWTHWU=,,Clarkesworld Magazine - Science Fiction & Fantasy,Geoff Ryman,2022-01-01 00:00:00,https://clarkesworldmagazine.com/ryman_06_14_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Have Not Have by Geoff Ryman,,,./data/1/MyOyM9pq+yOEP9mNAfO2VjYVBp4.json,,,,Clarkesworld Magazine
S5o7E0U97anmTY/+VHEnnI5o2W4=,,Clarkesworld Magazine - Science Fiction & Fantasy,Genevieve Valentine,2022-01-01 00:00:00,https://clarkesworldmagazine.com/valentine_10_17/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Intro to Prom by Genevieve Valentine,,,./data/1/+B+tTSkvZzVVhXr1YTtbktWOxhY.json,,,,Clarkesworld Magazine
iRusfgy2RbSqjShLaVWJQ21sh4E=,,Clarkesworld Magazine - Science Fiction & Fantasy,Bogi Takács,2022-01-01 00:00:00,https://clarkesworldmagazine.com/takacs_04_17/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Some Remarks on the Reproductive Strategy of the Common Octopus by Bogi Takács,,,./data/1/7VkxKi84dUugRxCOaQ3q2e2VBCM.json,,,,Clarkesworld Magazine
UiQ0PhcBxUAaRlZNQdTeuo0FBEI=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Rich Larson,2022-01-01,https://clarkesworldmagazine.com/larson_02_15/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Meshed by Rich Larson,,,./data/1/GiCvmlE-6touLM7OHLCXxMRgGKw.xml,,,,
Xqu9rnxrJe072sZvY5nLbm4IJcM=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Jeremy L C Jones,2022-01-01,https://clarkesworldmagazine.com/cadigan_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Driving through a Cloud with Pat Cadigan by Jeremy L. C. Jones,,,./data/1/HtL-SBF7OyoBz7ytJEURmdSzqPs.xml,,,,
qaIXpu2j4owwo+0wbLbSl9UPo1Y=,,Clarkesworld Magazine - Science Fiction & Fantasy,Nnedi Okorafor,2022-01-01 00:00:00,https://clarkesworldmagazine.com/okorafor_05_09/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: From the Lost Diary of TreeFrog7 by Nnedi Okorafor,,,./data/1/t4zKhpI62Jay+TQuQCJOWO5Dufs.json,,,,Clarkesworld Magazine
j5Iasc0CNS22NqK3yWNFTPhWe8o=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Steve Goad,2022-01-01,https://clarkesworldmagazine.com/artbio_67/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Place to Ponder by Steve Goad,,,./data/1/MqM6Dzh227IpB2rlabYRJ1XnH3E.xml,,,,
Ch+Tk7LySvhC6f3Ym6gf34MyDcM=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Indrapramit Das,2022-01-01,https://clarkesworldmagazine.com/das_09_12/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: muo-ka's Child by Indrapramit Das,,,./data/1/1wcuTmlOaOqc5aBHrQE2yN4rleU.xml,,,,
/SJdw1G+Jt/y6kUTdq0fPIewyhQ=,,Clarkesworld Magazine - Science Fiction & Fantasy,Jeremy L C Jones,2022-01-01 00:00:00,https://clarkesworldmagazine.com/black_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Decadence & Buckets of Blood: A Conversation with Holly Black by Jeremy L. C. Jones,,,./data/1/OsKS+h7B9vhcGdiMh75qty9BqtE.json,,,,Clarkesworld Magazine
3QXqvKj1BJlukMPOR6EhE2S3c5c=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Ian McDonald,2022-01-01,https://clarkesworldmagazine.com/mcdonald_12_17_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Botanica Veneris: Thirteen Papercuts by Ida Countess Rathangan by Ian McDonald,,,./data/1/acGNEYU2uPf+Er8C5VkxgcVr0oI.xml,,,,
7zQ7eL36WrN4BFfcKIqDhxqZMaY=,,Clarkesworld Magazine - Science Fiction & Fantasy,Catherynne M Valente,2022-01-01 00:00:00,https://clarkesworldmagazine.com/valente_11_11/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Silently and Very Fast (Part Two of Three) by Catherynne M. Valente,,,./data/1/lK5Mk5y9cS3FQvre+KqV1dlBtYg.json,,,,Clarkesworld Magazine
czIIfigj5MG7otQXfr6MtpRqXQc=,,Clarkesworld Magazine - Science Fiction & Fantasy,Baoshu; Ken Liu,2012-07-01 00:00:00,https://clarkesworldmagazine.com/bao_09_15/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Preserve Her Memory by Baoshu, translated by Ken Liu",,,./data/1/cWeGREHQ2kqXBQ3zrkcQ2EgKU70.json,,,,Clarkesworld Magazine
/DoS5Er2QJMZNNcgKCC+Tn7C/E8=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Robert Silverberg,2022-01-01,https://clarkesworldmagazine.com/silverberg_01_16_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The True Vintage of Erzuine Thale by Robert Silverberg,,,./data/1/2ceRe-B3DyIYGJpz4qKM+Jt4OOY.xml,,,,
lLN0+WlmM6u2iIe6obU898XsWEY=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Neil Clarke,2022-01-01,https://clarkesworldmagazine.com/jarre_interview/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Electronic Music, Science Fiction, and AIs: A Conversation with Jean-Michel Jarre by Neil Clarke",,,./data/1/B2v9KHt3ie4GxFrJF8mfK2IWhuI.xml,,,,
+XZV+hi+BrBVnf4xIxh5R3xtPkY=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Nina Allan,2022-01-01,https://clarkesworldmagazine.com/allan_11_18/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Gift of Angels: an introduction by Nina Allan,,,./data/1/c4I5Dh7wSBO2dV-8ilVEX1LPYWk.xml,,,,
McaH84WxUP2rofNYyt41v/fU1ok=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Lisa Mantchev,2022-01-01,https://clarkesworldmagazine.com/mantchev_10_07/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: A Dance Across Embers by Lisa Mantchev,,,./data/1/tx0J3xiCq5zNosjlfJ1eV3I3nqQ.xml,,,,
y27Nyx0Jb5rmRv8WN0kQcPjtYpk=,,Clarkesworld Magazine - Science Fiction & Fantasy,Ekaterina Sedia,2008-02-15 00:00:00,https://clarkesworldmagazine.com/sedia_03_08/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Evolutionary Arms Race: Competing Interests in Male and Female Genomes by Ekaterina Sedia,,,./data/1/U66HMRISd0q-4fGGdPTHpMX20P0.json,,,,Clarkesworld Magazine
/trYATnovT9m1iCMA9GJELjvr4s=,,Clarkesworld Magazine - Science Fiction & Fantasy,Kay Chronister,2022-01-01 00:00:00,https://clarkesworldmagazine.com/chronister_07_15/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Further North by Kay Chronister,,,./data/1/maTVZJW37u0f44MN6TSrkvTaWEg.json,,,,Clarkesworld Magazine
